model,model_label,params,training,example_index,hop,question,load_status,context_available,failure_mode,gold_any_in_context,gold_all_in_context,evidence_support_ratio,answer_set_error,em,f1,precision,recall,missing_count,extra_count,gold_answer_count,pred_answer_count
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,0,1,what does [Grégoire Colin] appear in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,1,1,[Joe Thomas] appears in which movies,valid_json,True,"correct answer, unsupported evidence",True,True,0.5,correct,1.0,1.0,1.0,1.0,0,0,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,2,1,what films did [Michelle Trachtenberg] star in,valid_json,True,hallucination / grounding failure,True,True,0.7333333333333333,exact miss,0.0,0.0,0.0,0.0,5,1,5,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,3,1,what does [Helen Mack] star in,valid_json,True,hallucination / grounding failure,True,True,0.8333333333333334,partial: missing + extra,0.0,0.5,0.4,0.6666666666666666,1,3,3,6
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,4,1,what films did [Shahid Kapoor] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.2857142857142857,correct,1.0,1.0,1.0,1.0,0,0,3,3
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,5,1,[Brendan Gleeson] appears in which movies,valid_json,True,hallucination / grounding failure,True,True,0.45454545454545453,partial: incomplete answer set,0.0,0.625,1.0,0.45454545454545453,6,0,11,5
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,6,1,what films does [Paresh Rawal] appear in,valid_json,True,hallucination / grounding failure,True,True,0.75,partial: incomplete answer set,0.0,0.6666666666666666,1.0,0.5,1,0,2,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,7,1,what does [Doug Collins] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,8,1,what films does [Brigitte Nielsen] appear in,valid_json,True,hallucination / grounding failure,True,True,0.3333333333333333,partial: missing + extra,0.0,0.5,0.5,0.5,1,1,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,9,1,[Mona McKinnon] appears in which movies,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,10,1,what films did [Christina Ricci] act in,valid_json,True,hallucination / grounding failure,True,True,0.8461538461538461,partial: incomplete answer set,0.0,0.34782608695652173,1.0,0.21052631578947367,15,0,19,4
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,11,1,[Brian Backer] appears in which movies,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,12,1,what films does [William Atherton] appear in,valid_json,True,hallucination / grounding failure,True,True,0.5,partial: incomplete answer set,0.0,0.888888888888889,1.0,0.8,1,0,5,4
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,13,1,what does [Jeremy Piven] act in,valid_json,True,hallucination / grounding failure,True,True,0.25,partial: incomplete answer set,0.0,0.5,1.0,0.3333333333333333,2,0,3,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,14,1,what films did [Roger Bart] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,15,1,[Ruggero Raimondi] appears in which movies,valid_json,True,"correct answer, unsupported evidence",True,True,0.8,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,16,1,what films did [Robert Strauss] act in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,partial: missing + extra,0.0,0.5,0.5,0.5,1,1,2,2
