dataset,hop,mode,label_source,question,gold_answer_count,output_answer_count,final_answer_em,final_answer_f1,gold_any_in_context,gold_all_in_context,gold_any_in_graph,gold_all_in_graph,gold_any_in_retrieval,gold_all_in_retrieval,evidence_count,evidence_support_ratio,unsupported_evidence_count,has_unsupported_evidence,failure_mode
GraphRAG Gold,1,graphrag,gold,who directed the film [Patch Adams],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what terms are applicable to [Love Is Strange],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what movies are about [shakespearean],1,1,1.0,1.0,True,True,True,True,False,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who is the writer of the film [The Star Maker],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what was the release year of [Legionnaire],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,"the movie [Mutant Chronicles], when was it released",1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,which words describe movie [Quinceañera],2,2,1.0,1.0,True,True,True,True,False,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,describe [Winchester '73],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what does [Maya Stange] appear in,1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who stars in [Baby Face],2,2,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,which movies was [Ralph Farquhar] a writer on,1,1,1.0,1.0,True,True,True,True,False,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who is listed as director for [Fire of Conscience],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what is the genre of the film [Judex],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what movie did [Nicole Perlman] write the story for,1,1,1.0,1.0,True,True,True,True,False,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what films did [Malcolm Marmorstein] write,2,2,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what is a film written by [Dorothy Kingsley],2,2,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,"the movie [Nazty Nuisance], when was it released",1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what was the release date of the film [In the Land of Women],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who acted in [The Greatest],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,the film [The Outsiders] was directed by who,1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,which movies can be described by [andré de toth],4,4,1.0,1.0,True,True,True,True,True,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,the film [Revenge] starred which actors,3,3,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what was the release date of [Black Legion],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,[Zoltán Mucsi] appears in which movies,1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who is the director for [Giallo],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,[Nicole Vicius] appears in which movies,1,1,1.0,1.0,True,True,True,True,False,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who are the actors in [Crazy People],2,2,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what kind of film is [Yves Saint Laurent],2,2,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,"the movie [The Devil and Daniel Johnston], when was it released",1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,which movies did [Buddy Van Horn] direct,2,2,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who was the director of [The Man from Earth],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who wrote the movie [The Hamiltons],2,2,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what films are about [darren lynn bousman],3,3,1.0,1.0,True,True,True,True,True,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what year was [The Amityville Horror] released,1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what movies did [Gilda Gray] act in,1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,what was the genre of [Tales That Witness Madness],1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,who wrote the screenplay for [Apartment 1303 3D],2,2,1.0,1.0,True,True,True,True,True,False,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,the film [Blast of Silence] was written by who,1,1,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
GraphRAG Gold,1,graphrag,gold,can you give a few words describing [Candleshoe],3,3,1.0,1.0,True,True,True,True,True,True,0,,0,False,correct grounded answer
